,long_name,player_positions,overall,value_eur,age,club_position,preferred_foot,weak_foot,skill_moves,international_reputation,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure
9060,Florian David,"ST, LW, RM",66,875000.0,28,SUB,Right,3,3,1,76.0,66.0,62.0,67.0,42.0,66.0,57,68,61,64,42,68,57,72,60,65,80,73,81,59,69,72,61,72,65,66,64,47,64,66,48,52
9101,Gustavo Di Mauro Vagenin,"RW, CAM",66,850000.0,29,RW,Left,3,3,1,73.0,63.0,60.0,67.0,22.0,47.0,62,67,40,64,64,65,63,55,49,69,72,73,83,58,72,57,43,66,41,62,37,16,62,58,59,53
9106,Babacar Gueye,ST,66,1100000.0,26,LS,Right,3,2,1,73.0,63.0,41.0,61.0,21.0,70.0,30,63,75,51,47,60,35,32,33,64,63,82,62,65,57,71,67,57,81,60,59,11,65,46,63,57
9118,Marko Kvasina,ST,66,1300000.0,24,LS,Right,2,3,1,51.0,66.0,50.0,63.0,29.0,70.0,32,67,79,57,56,65,53,34,52,67,50,52,60,57,37,69,57,59,86,64,48,22,67,56,56,63
9136,Duckens Moses Nazon,ST,66,1000000.0,27,ST,Right,3,3,1,75.0,65.0,47.0,66.0,24.0,63.0,35,66,58,60,60,67,59,32,39,66,73,77,67,63,70,68,65,50,78,61,40,20,62,45,62,56
9139,Cheikhou Dieng,"ST, LM, RM",66,1000000.0,27,SUB,Right,3,3,1,90.0,64.0,58.0,68.0,30.0,52.0,56,65,60,62,62,69,60,43,54,65,89,90,80,65,75,67,87,55,53,62,39,36,65,61,52,57
9146,Harrison James Chapman,"LW, RW",66,1700000.0,23,SUB,Right,3,3,1,76.0,59.0,61.0,70.0,30.0,57.0,62,57,45,62,60,72,55,52,56,65,83,70,83,60,86,60,59,64,55,65,55,30,59,66,54,57
9147,Oliver Berg,"CF, CM, ST",66,925000.0,27,ST,Right,3,3,1,72.0,65.0,61.0,65.0,54.0,74.0,62,63,55,65,55,65,54,40,57,65,69,75,67,67,70,70,57,87,69,66,73,57,68,64,62,61
9173,Luka Zahović,ST,66,1100000.0,25,SUB,Right,3,3,1,76.0,62.0,57.0,71.0,28.0,51.0,48,63,62,63,58,70,56,36,55,72,78,74,83,64,76,65,62,67,49,58,32,19,70,60,55,54
9184,Jay-Roy Grot,"ST, LW, RW",66,1700000.0,23,SUB,Right,2,3,1,78.0,65.0,59.0,61.0,47.0,82.0,61,59,61,61,57,66,58,43,59,61,68,86,52,58,47,84,67,75,89,67,75,48,59,56,42,55
9200,Jonathan Leko,"ST, RM",66,1300000.0,22,SUB,Right,4,3,1,87.0,61.0,55.0,68.0,24.0,58.0,57,64,64,62,50,70,53,34,44,64,85,88,78,63,73,66,65,63,65,56,30,16,64,57,50,55
9204,Fabian Schleusener,"ST, LM, RM",66,850000.0,29,LW,Right,4,3,1,79.0,62.0,56.0,65.0,28.0,69.0,63,62,58,59,68,66,57,39,44,62,76,81,68,66,67,70,73,70,76,54,51,26,70,55,52,63
9212,Vladyslav Kulach,ST,66,875000.0,28,SUB,Right,3,2,1,73.0,63.0,50.0,67.0,21.0,63.0,42,69,59,67,49,67,36,25,46,68,70,75,72,68,69,55,61,76,64,64,43,17,68,43,55,49
9240,Finn Stokkers,ST,66,1100000.0,25,SUB,Right,3,2,1,71.0,66.0,43.0,66.0,29.0,69.0,32,68,65,54,60,63,54,33,32,69,69,72,72,62,71,68,74,77,75,61,44,16,68,44,63,63
9244,Phillip Tietz,ST,66,1400000.0,23,LS,Right,3,2,1,63.0,67.0,51.0,64.0,32.0,74.0,37,69,65,63,53,64,29,25,50,65,61,64,63,64,55,66,71,71,81,66,60,25,69,58,68,67
9258,Daniel Constantin Florea,ST,66,550000.0,33,LS,Right,3,3,1,73.0,67.0,58.0,68.0,31.0,61.0,52,68,63,61,59,66,61,63,55,64,74,72,79,67,88,67,76,77,52,65,62,32,67,57,68,65
9273,Jens Odgaard,ST,66,1900000.0,22,RW,Left,3,3,1,68.0,64.0,50.0,67.0,35.0,67.0,42,68,62,56,53,68,52,34,38,67,67,68,64,65,64,67,53,69,78,56,39,22,67,58,59,65
9275,Komnen Andrić,ST,66,1100000.0,26,RES,Right,3,3,1,65.0,66.0,50.0,66.0,22.0,67.0,38,69,66,62,51,64,50,41,36,74,67,63,61,60,47,67,68,63,81,61,37,16,63,56,78,64
9278,Seifedin Chabbi,ST,66,925000.0,27,RS,Right,3,2,1,69.0,65.0,52.0,63.0,24.0,66.0,43,68,67,58,52,65,56,29,45,64,71,67,59,64,54,68,65,66,80,56,30,18,66,58,67,52
9281,Mattia Finotto,ST,66,875000.0,28,SUB,Left,2,3,1,82.0,62.0,57.0,65.0,35.0,67.0,53,64,65,62,65,64,49,48,48,63,85,79,70,68,68,60,64,76,66,56,57,29,67,65,66,66
9282,Giacomo Vrioni,ST,66,1900000.0,22,LS,Left,4,4,1,77.0,66.0,50.0,65.0,23.0,60.0,39,69,63,57,66,65,60,39,41,69,73,80,64,57,67,65,58,65,68,58,35,21,62,58,70,52
9283,Max Johan Erik Svensson,LW,66,1700000.0,23,SUB,Right,3,3,1,81.0,59.0,60.0,69.0,31.0,48.0,62,56,39,61,53,69,65,62,50,67,83,79,79,60,87,65,63,73,38,62,39,34,61,60,44,60
9286,Issam Jebali,"ST, CF, CAM",66,850000.0,29,CAM,Right,3,4,1,71.0,65.0,62.0,71.0,38.0,70.0,53,65,57,67,60,73,61,50,56,70,69,73,70,62,63,69,66,72,74,61,58,41,66,68,64,69
9292,Nikola Dovedan,"CF, CAM, RM",66,950000.0,26,SUB,Right,4,3,1,79.0,63.0,60.0,72.0,34.0,57.0,61,63,55,63,58,71,71,70,53,68,82,76,91,63,90,66,60,74,51,63,50,25,65,54,53,61
9295,Ihsan Sacko,"ST, LM",66,1400000.0,23,SUB,Right,3,3,1,81.0,64.0,60.0,69.0,40.0,58.0,57,61,63,65,59,69,52,55,54,66,80,82,81,58,71,73,58,57,63,60,47,34,63,64,73,64
9300,Joel Joshghene Asoro,"ST, RM",66,1800000.0,22,SUB,Right,3,3,1,88.0,62.0,54.0,71.0,21.0,57.0,52,64,56,58,55,74,51,39,48,68,90,86,78,65,78,66,60,66,59,55,42,18,64,57,60,55
9319,Andrew Jung,ST,66,1700000.0,23,LS,Right,3,3,1,57.0,66.0,46.0,61.0,30.0,74.0,31,66,71,58,59,62,56,51,37,65,50,63,54,66,40,67,73,67,85,68,55,25,64,41,63,64
9335,Aliou Badji,ST,66,1700000.0,23,ST,Right,3,3,1,83.0,66.0,41.0,64.0,26.0,80.0,25,68,72,46,53,67,53,41,33,64,80,86,67,52,56,70,71,76,84,64,77,16,58,51,53,55
9341,Moussa Sylla,"ST, RW",66,1900000.0,21,RW,Right,3,3,1,82.0,63.0,54.0,70.0,22.0,56.0,52,65,59,61,59,72,51,45,50,68,83,82,76,68,66,64,66,59,58,59,43,16,66,51,65,59
9345,北川 航也,"ST, CF, CAM",66,1200000.0,24,SUB,Right,4,3,1,79.0,64.0,49.0,70.0,35.0,60.0,27,64,62,60,65,69,64,41,50,71,78,80,78,65,69,63,64,54,64,61,54,24,68,51,67,61
9358,Tamás Kiss,"LW, RW",66,2200000.0,20,RW,Right,3,3,1,86.0,62.0,60.0,66.0,29.0,45.0,66,66,35,57,37,62,65,31,59,64,81,90,86,63,87,59,43,63,34,62,52,29,58,68,57,63
9359,Steffen Tigges,ST,66,1800000.0,22,SUB,Left,4,2,1,57.0,67.0,55.0,55.0,42.0,79.0,60,69,71,62,61,56,42,28,44,56,53,60,45,65,42,75,57,75,86,57,72,38,67,54,55,63
9364,Haji Wright,ST,66,1900000.0,23,ST,Right,4,2,1,77.0,66.0,48.0,64.0,22.0,72.0,44,68,61,52,56,66,51,34,41,65,71,81,63,58,45,72,70,65,90,60,38,12,62,53,64,69
9376,Stefan Schimmer,ST,66,1000000.0,27,SUB,Right,4,2,1,65.0,67.0,42.0,62.0,29.0,73.0,33,70,65,55,63,59,57,36,25,64,65,65,66,65,61,70,82,65,77,59,69,20,70,40,60,59
9380,Shkelqim Demhasaj,ST,66,1200000.0,25,SUB,Right,3,2,1,64.0,69.0,46.0,65.0,29.0,58.0,37,70,65,52,61,67,53,40,45,68,59,68,65,58,42,67,71,51,70,69,31,12,66,44,69,63
9391,Aka Wilfried Kanga,ST,66,1700000.0,23,RES,Right,4,3,1,72.0,63.0,59.0,68.0,24.0,62.0,65,66,66,61,55,69,53,37,57,72,73,72,69,57,51,65,62,33,80,55,55,28,65,58,58,59
9392,Mohamed Mamoun Eisa,ST,66,1000000.0,26,LS,Right,3,3,1,81.0,64.0,51.0,66.0,24.0,63.0,53,67,58,54,57,66,56,60,30,65,80,81,72,65,60,65,70,74,68,59,36,18,67,55,58,64
9407,Malik Tchokounté,ST,66,700000.0,32,LS,Right,2,2,1,40.0,66.0,52.0,62.0,23.0,79.0,40,69,73,62,63,62,55,40,37,66,36,44,57,55,52,66,70,68,91,61,67,17,74,60,63,65
9411,Torgil Øwre Gjertsen,"LW, RW",66,850000.0,29,LW,Right,3,3,1,77.0,62.0,60.0,69.0,49.0,63.0,62,61,49,63,66,65,63,56,51,66,78,76,91,62,90,66,38,73,61,63,60,51,62,62,55,64
9413,Sylla Sow,"LW, RW, ST",66,1200000.0,24,SUB,Right,3,3,1,79.0,62.0,58.0,67.0,26.0,65.0,67,65,58,64,55,70,49,38,42,64,77,80,71,60,68,68,81,51,68,55,73,22,63,59,46,60
9422,Leonardo Miramar Rocha,ST,66,1700000.0,23,SUB,Right,3,2,1,62.0,67.0,46.0,62.0,21.0,65.0,53,70,68,56,55,65,38,26,28,66,59,64,50,61,31,66,66,53,87,63,26,16,67,41,68,62
9425,Daniel Escriche Romero,"ST, RM, CAM",66,1900000.0,23,ST,Right,3,3,1,68.0,65.0,51.0,64.0,30.0,63.0,35,69,69,63,59,64,49,46,40,68,71,66,59,64,69,64,70,65,62,61,59,23,65,55,64,49
9482,Luka Adžić,LW,66,1400000.0,22,SUB,Right,4,3,1,74.0,63.0,63.0,69.0,33.0,60.0,62,61,56,63,63,72,66,64,60,69,73,75,68,60,64,64,72,61,63,66,47,35,63,63,61,64
9491,Patrick Schmidt,"ST, RM",66,925000.0,27,RES,Right,3,2,1,66.0,66.0,43.0,60.0,27.0,73.0,39,69,70,54,65,55,35,27,29,62,64,67,68,64,64,73,82,84,80,56,37,22,68,42,55,62
9495,Ross Cameron Stewart,"ST, LM",66,1200000.0,24,ST,Right,3,2,1,71.0,64.0,51.0,59.0,26.0,69.0,42,66,72,56,58,61,61,51,48,63,68,73,51,61,37,65,50,68,77,60,53,23,66,52,60,58
9501,Sydney van Hooijdonk,"ST, LW",66,1900000.0,21,RES,Right,4,2,1,76.0,68.0,55.0,62.0,26.0,67.0,50,65,61,59,62,62,74,73,43,65,75,76,64,57,55,75,70,64,72,69,57,17,63,52,67,55
9516,Facundo Colidio,"ST, CAM",66,1900000.0,21,RES,Right,3,3,1,68.0,67.0,63.0,70.0,25.0,44.0,57,70,69,70,65,70,54,55,52,72,70,66,69,63,73,63,66,58,39,66,34,19,66,67,66,59
9526,Joe Gelhardt,"ST, CAM",66,2200000.0,19,RES,Left,3,3,1,73.0,66.0,57.0,69.0,27.0,63.0,46,68,55,66,58,69,53,43,57,69,74,73,71,63,73,67,53,63,68,62,54,19,64,57,63,63
9528,André Luís Silva de Aguiar,ST,66,1000000.0,27,SUB,Right,3,3,1,67.0,67.0,48.0,65.0,24.0,70.0,36,69,72,54,69,65,57,35,41,62,68,67,76,64,70,68,78,71,68,62,74,17,65,54,66,59
9537,Leon Dajaku,"RW, LW, CAM",66,2100000.0,20,SUB,Right,4,3,1,77.0,64.0,54.0,69.0,22.0,56.0,49,66,61,61,53,70,50,60,46,68,78,77,78,65,72,62,64,68,56,65,39,14,64,53,58,53
9541,Joël Zwarts,"ST, LW, RW",66,1900000.0,22,SUB,Left,3,3,1,82.0,65.0,51.0,64.0,23.0,71.0,60,67,55,54,53,65,45,32,39,66,78,85,68,60,60,70,70,66,76,58,63,20,64,50,60,51
9545,Mohammed Kesselly Kamara,"ST, RW, LW",66,1900000.0,23,SUB,Right,4,3,1,78.0,63.0,52.0,69.0,29.0,67.0,53,66,64,59,46,72,55,35,38,68,79,77,76,58,64,69,66,62,73,57,57,21,65,55,57,51
9553,Wilson Isidor,ST,66,1900000.0,20,SUB,Right,3,3,1,67.0,65.0,54.0,66.0,21.0,57.0,49,67,66,59,59,65,64,39,47,67,65,68,66,64,59,68,64,51,66,59,42,18,67,59,63,68
9569,Cătălin Gheorghiță Golofca,"RW, RM",66,700000.0,31,RW,Right,3,3,1,89.0,60.0,61.0,67.0,51.0,61.0,59,58,43,62,58,63,70,44,63,65,90,89,89,60,88,68,60,75,56,61,56,53,58,61,53,64
9570,Claudiu Adrian Mihai Petrila,"RW, ST",66,2100000.0,20,RW,Right,4,2,1,81.0,58.0,64.0,67.0,34.0,52.0,66,60,36,61,38,67,58,66,69,63,82,80,79,60,75,58,56,53,50,60,55,32,60,64,46,58
9575,Dominik Kother,LW,66,1900000.0,21,SUB,Right,3,2,1,76.0,60.0,54.0,70.0,21.0,49.0,64,64,46,59,54,72,45,37,42,69,78,74,77,63,66,58,71,58,48,55,33,19,60,49,49,53
9579,Sergio Camello Pérez,ST,66,2100000.0,20,SUB,Right,3,3,1,68.0,66.0,52.0,67.0,24.0,43.0,37,68,63,63,64,68,58,48,42,68,67,69,58,66,70,63,65,43,48,64,27,21,69,54,59,63
9580,José Uilton Silva de Jesus,"RW, LW",66,850000.0,28,SUB,Right,3,2,1,74.0,58.0,59.0,69.0,27.0,49.0,64,64,38,64,54,69,64,35,45,68,76,73,78,65,75,53,59,66,44,53,39,17,62,58,52,54
9583,Kastriot Imeri,"LW, CAM, CM",66,2100000.0,21,LW,Right,3,3,1,71.0,65.0,64.0,69.0,56.0,65.0,58,65,59,66,54,69,67,65,64,68,70,71,82,55,81,71,70,67,63,65,65,56,63,66,60,53
9627,Félix Alexandre Andrade Sanches Correia,"RW, LW",66,2200000.0,20,SUB,Right,3,4,1,82.0,58.0,57.0,73.0,32.0,53.0,60,58,41,57,56,74,64,49,52,68,84,80,82,64,78,64,57,52,56,55,48,24,57,60,57,70
9628,Abdoul Fessal Tapsoba,"RW, ST",66,2000000.0,19,SUB,Right,3,3,1,83.0,66.0,51.0,70.0,22.0,54.0,50,67,54,63,59,70,38,39,40,72,84,83,81,51,73,69,83,57,55,66,38,23,58,46,64,57
9635,Oliver Valaker Edvardsen,"RW, ST, LW",66,1700000.0,22,RW,Left,4,3,1,90.0,60.0,55.0,69.0,46.0,75.0,55,64,54,56,55,67,60,44,51,65,92,88,87,60,88,59,92,79,70,55,80,50,65,56,50,63
9657,Pape Habib Guèye,ST,66,1900000.0,21,LS,Right,3,3,1,75.0,64.0,54.0,67.0,21.0,73.0,53,65,62,58,61,68,58,45,50,66,73,76,68,64,61,69,75,72,75,59,71,19,63,52,64,63
9669,Julen Lobete Cienfuegos,"ST, LM",66,2100000.0,20,LM,Right,4,3,1,70.0,65.0,48.0,66.0,23.0,57.0,42,70,64,53,50,63,47,29,44,69,75,66,70,65,77,65,62,59,61,59,44,17,69,52,57,59
9686,Mohamed-Ali Cho,ST,66,2100000.0,17,RS,Left,3,3,1,75.0,66.0,53.0,68.0,24.0,49.0,55,68,63,62,52,74,41,35,39,68,76,74,60,58,59,68,62,47,58,65,27,20,62,52,64,56
9693,Kaan Caliskaner,ST,66,1800000.0,21,SUB,Right,3,3,1,75.0,60.0,52.0,67.0,21.0,65.0,30,62,62,66,56,68,42,29,48,70,67,81,65,64,58,64,61,72,75,55,33,15,65,60,52,63
9700,本 寛也,"RW, CAM",66,1900000.0,22,RCM,Left,4,3,1,74.0,59.0,62.0,69.0,30.0,45.0,65,55,43,64,56,68,60,42,52,70,73,75,74,66,74,66,48,63,40,60,32,21,63,66,62,54
9707,Jean Patric Lima dos Reis,"LW, RW",66,1300000.0,24,SUB,Right,4,3,1,86.0,64.0,58.0,69.0,30.0,46.0,63,69,49,61,55,73,56,40,51,65,88,85,74,49,76,66,46,54,44,56,39,23,54,59,62,58
9715,Slobodan Tedić,ST,66,2100000.0,21,ST,Right,4,3,1,63.0,65.0,52.0,63.0,25.0,73.0,38,68,68,63,61,62,52,46,41,65,56,68,62,61,58,63,71,62,81,59,65,19,67,58,65,67
9723,Ali Alipour,ST,66,1300000.0,25,RS,Right,4,2,1,75.0,68.0,50.0,64.0,23.0,60.0,42,70,66,56,69,62,51,41,43,63,76,74,73,65,64,71,80,69,60,62,45,17,64,54,63,69
9727,Eric Kleybel Ramírez Matheus,ST,66,1900000.0,22,SUB,Right,3,2,1,51.0,66.0,46.0,60.0,22.0,65.0,33,70,75,60,70,62,35,42,32,60,51,51,58,65,47,65,64,60,80,55,33,20,70,50,65,55
9739,Victor Edvardsen,"ST, LW",66,1200000.0,25,ST,Right,3,2,1,63.0,68.0,58.0,62.0,32.0,72.0,59,70,54,58,59,59,55,55,54,65,62,63,57,64,70,69,60,62,80,64,67,12,72,59,62,64
9742,Lautaro de León Billar,ST,66,2100000.0,20,RES,Right,4,3,1,65.0,67.0,46.0,65.0,20.0,57.0,27,72,65,60,60,67,40,42,40,70,69,62,56,60,55,62,62,52,68,66,35,15,62,48,59,47
9743,Daniel Alejandro Pérez Córdova,ST,66,2000000.0,19,SUB,Right,3,3,1,69.0,67.0,40.0,64.0,27.0,70.0,33,72,66,38,61,66,55,48,28,66,62,74,61,67,56,66,58,70,74,61,62,22,62,55,61,51
9749,Morgan Rogers,LW,66,2200000.0,18,SUB,Right,4,3,1,80.0,65.0,60.0,65.0,39.0,64.0,62,65,49,64,56,70,58,47,46,64,76,83,58,59,55,70,45,66,74,63,43,32,62,64,60,60
9755,Anton Maglica,ST,66,850000.0,29,SUB,Right,3,2,1,58.0,70.0,54.0,62.0,40.0,54.0,52,74,65,61,59,60,54,49,49,68,61,55,59,61,62,67,66,51,58,68,45,40,71,49,58,51
9771,Kayky da Silva Chagas,RW,66,2700000.0,18,RES,Left,3,3,1,82.0,58.0,57.0,72.0,28.0,45.0,57,64,38,60,50,73,45,39,55,71,83,82,84,49,76,62,46,60,43,40,31,22,61,63,64,58
9776,Elayis Tavşan,"RW, ST",66,1900000.0,20,SUB,Left,3,3,1,86.0,60.0,59.0,66.0,24.0,58.0,58,61,54,59,43,65,67,61,53,63,87,85,80,66,74,63,60,64,62,61,38,22,63,61,58,64
9777,Francisco Jorge Tavares Oliveira,"LW, LM",66,1900000.0,21,LW,Right,3,2,1,80.0,61.0,58.0,69.0,29.0,56.0,63,64,52,59,49,74,60,47,53,68,79,80,63,58,68,71,47,64,63,45,33,22,60,57,65,61
9778,Adílio Correia dos Santos,"RW, LW",66,900000.0,27,SUB,Left,4,2,1,71.0,70.0,61.0,66.0,30.0,53.0,61,70,61,62,72,68,68,50,54,65,72,70,65,60,69,74,45,61,58,69,34,26,63,65,68,62
9784,Rocha Moreira Nuno Gonçalo,"LW, RW",66,1900000.0,22,LW,Left,3,3,1,71.0,62.0,65.0,70.0,33.0,44.0,63,66,50,69,59,72,60,50,62,70,70,72,67,56,77,69,49,59,42,48,29,26,54,68,64,65
9787,Emir Sahiti,"LW, LM",66,1900000.0,22,RM,Right,3,2,1,83.0,60.0,56.0,70.0,29.0,50.0,61,58,48,55,62,70,61,51,42,68,81,84,83,59,86,74,52,54,45,52,56,21,61,64,57,48
9796,Gilson Benchimol Tavares,"CF, ST",66,1900000.0,19,SUB,Right,3,3,1,80.0,65.0,56.0,71.0,20.0,50.0,53,67,56,60,60,75,60,34,48,69,77,82,60,66,72,66,55,65,50,63,32,11,55,60,68,63
9803,Matthis Abline,ST,66,2200000.0,18,SUB,Right,3,3,1,75.0,68.0,54.0,69.0,23.0,48.0,41,70,58,64,64,72,54,38,53,68,77,73,71,61,72,68,59,55,49,63,33,14,64,55,70,53
9804,Juan Boselli,ST,66,1900000.0,21,SUB,Left,2,2,1,71.0,67.0,50.0,71.0,23.0,58.0,39,67,54,58,61,71,60,36,46,73,69,73,67,64,72,74,59,63,60,63,44,23,62,51,68,66
9813,Mihai Roman,"RW, RM",65,230000.0,36,SUB,Right,3,3,1,70.0,63.0,65.0,64.0,51.0,59.0,69,58,51,66,61,61,64,66,64,66,66,73,71,58,67,69,61,50,63,66,59,52,68,62,68,69
9816,Saheed Adebayo Akinfenwa,ST,65,240000.0,39,SUB,Right,3,2,1,40.0,64.0,55.0,56.0,35.0,74.0,44,64,74,62,59,50,50,42,52,68,34,44,34,64,71,71,49,34,97,56,74,17,68,61,64,68
9830,Shaun James Whalley,"ST, RW",65,450000.0,33,SUB,Right,3,3,1,88.0,63.0,60.0,68.0,42.0,62.0,63,63,55,61,58,65,50,56,56,64,86,90,88,64,82,67,69,68,67,62,41,38,64,61,57,61
9843,Alessio Bottani,"ST, LW, CAM",65,700000.0,30,RS,Right,4,3,1,87.0,65.0,57.0,72.0,39.0,48.0,58,69,45,63,54,70,53,42,50,71,89,85,86,65,89,65,65,75,33,60,47,40,68,56,63,58
9846,Kenan Özer,"ST, RM",65,450000.0,33,RES,Right,4,3,1,72.0,63.0,64.0,71.0,35.0,60.0,66,65,49,68,62,71,58,64,60,72,70,74,69,69,89,64,77,54,61,62,62,17,67,61,41,58
9860,Michiel Kramer,ST,65,575000.0,32,ST,Right,3,2,1,41.0,64.0,56.0,56.0,35.0,63.0,47,67,75,64,63,53,44,32,57,62,38,44,51,66,34,66,60,54,78,50,39,28,74,58,66,66
9861,Gary Madine,ST,65,700000.0,30,SUB,Right,3,2,1,49.0,66.0,51.0,61.0,32.0,78.0,42,65,69,59,67,59,42,35,39,66,46,51,53,65,51,70,80,64,85,63,79,33,67,63,66,65
9879,Kristoffer Tokstad,RW,65,700000.0,29,SUB,Right,2,3,1,79.0,61.0,61.0,66.0,47.0,74.0,63,59,58,60,59,65,64,58,54,65,78,79,71,58,69,67,58,85,74,62,66,56,60,65,59,66
9888,Paulo José de Oliveira,"ST, CF",65,300000.0,35,SUB,Right,4,4,1,67.0,69.0,61.0,68.0,24.0,70.0,57,68,41,63,68,67,69,67,52,68,71,63,70,65,83,70,79,62,73,70,72,18,69,67,68,70
9892,Andrew Ellis Cook,ST,65,700000.0,30,ST,Right,4,3,1,65.0,64.0,52.0,61.0,28.0,84.0,40,65,65,58,61,59,58,40,53,62,66,65,64,63,66,68,83,68,90,60,87,23,65,56,56,61
9898,Markus Pink,"ST, LM, RM",65,700000.0,30,ST,Right,3,2,1,55.0,65.0,51.0,59.0,27.0,74.0,49,68,66,58,58,57,47,23,44,62,45,63,57,63,47,71,55,81,86,53,41,33,66,56,62,63
9912,Idriss Saadi,ST,65,725000.0,29,ST,Right,3,3,1,56.0,67.0,52.0,62.0,22.0,74.0,42,65,64,59,68,61,59,61,39,62,58,55,60,61,61,81,78,67,80,56,67,18,65,53,68,67
9914,Conor Michael McAleny,"LW, ST",65,725000.0,28,LM,Right,3,3,1,81.0,64.0,59.0,66.0,24.0,56.0,62,63,50,60,58,64,63,58,50,63,82,81,84,62,81,67,33,82,46,63,54,24,63,58,62,61
9916,Tom Eaves,ST,65,725000.0,29,SUB,Right,4,2,1,53.0,66.0,46.0,59.0,37.0,79.0,33,65,73,55,63,59,40,37,41,62,52,54,58,62,34,74,69,69,92,60,59,24,66,53,65,61
9919,Petar Slišković,ST,65,700000.0,30,ST,Right,3,2,1,66.0,65.0,42.0,57.0,33.0,77.0,39,69,71,50,56,56,55,40,36,60,62,69,58,61,42,65,56,65,90,58,63,24,68,33,63,63
9933,Rilwan Olanrewaju Hassan,"RW, CM",65,700000.0,30,LW,Right,4,3,1,79.0,57.0,60.0,68.0,46.0,63.0,63,55,52,61,54,66,58,40,54,65,78,79,85,61,86,64,92,68,54,59,70,43,61,64,46,67
9934,Karl Johan Walter Bertilsson,"LW, RW",65,450000.0,33,LW,Right,2,3,1,72.0,61.0,63.0,66.0,32.0,59.0,58,60,46,65,57,64,64,62,58,66,75,70,72,65,76,61,82,66,59,59,43,36,70,68,63,62
9936,Felicio Anando Brown Forbes,ST,65,725000.0,29,SUB,Right,3,3,1,79.0,61.0,55.0,60.0,43.0,81.0,57,64,62,55,41,61,54,49,47,62,76,82,56,61,54,67,80,70,90,54,72,44,64,59,56,60
9940,Michał Żyro,ST,65,725000.0,28,SUB,Left,3,3,1,69.0,64.0,61.0,68.0,39.0,67.0,63,62,58,62,64,68,63,59,52,67,67,71,76,63,54,65,60,62,72,66,61,42,67,66,66,70
9945,Patrick James Hoban,ST,65,725000.0,29,SUB,Right,3,3,1,60.0,64.0,56.0,60.0,39.0,75.0,54,65,69,58,61,57,58,56,53,63,55,64,61,64,64,66,78,77,81,59,58,33,67,54,67,65
9958,Apostolos Vellios,ST,65,725000.0,29,ST,Right,3,2,1,47.0,66.0,56.0,60.0,36.0,68.0,36,66,70,65,63,58,61,63,54,65,46,47,53,64,49,70,56,56,75,64,66,29,69,61,62,70
9963,Michael Francis O'Halloran,"RW, ST",65,700000.0,30,SUB,Right,2,3,1,89.0,59.0,56.0,65.0,31.0,65.0,61,60,48,59,56,63,57,38,49,64,88,90,83,55,67,65,66,72,72,56,40,45,58,57,48,61
9972,Aiden Anthony O'Brien,"ST, LM",65,775000.0,27,SUB,Right,3,3,1,73.0,63.0,62.0,65.0,37.0,70.0,63,64,60,65,57,65,61,40,61,64,75,71,73,62,65,65,77,73,69,62,66,30,64,64,57,60
9992,Mikaël Yann Mathieu Mandron,ST,65,900000.0,26,ST,Left,3,3,1,64.0,63.0,53.0,63.0,43.0,78.0,47,64,64,60,55,63,52,43,43,65,66,63,65,62,53,67,72,81,82,59,67,38,65,58,60,64
9995,Kane Ruudi Hemmings,ST,65,725000.0,29,SUB,Right,3,3,1,72.0,65.0,51.0,63.0,29.0,64.0,38,66,62,57,61,62,41,37,43,63,73,71,68,60,64,67,69,75,73,61,27,43,65,63,65,57
9997,Mamadou Koné,"ST, LW, RW",65,725000.0,29,SUB,Right,3,3,1,76.0,64.0,58.0,69.0,30.0,65.0,60,64,56,62,55,69,50,56,52,68,77,76,76,63,74,68,78,65,64,63,66,26,65,57,57,63
10004,Kevin Luckassen,ST,65,775000.0,27,SUB,Right,3,2,1,73.0,66.0,43.0,60.0,29.0,75.0,31,70,66,52,58,58,38,38,42,60,72,74,68,53,71,68,75,74,84,58,52,28,66,42,67,62
10007,Jefté Betancor Sánchez,ST,65,775000.0,27,ST,Right,3,3,1,58.0,67.0,51.0,64.0,31.0,69.0,47,69,64,61,67,63,42,51,40,66,57,58,65,63,58,65,65,63,76,62,58,23,67,46,69,60
10009,Thomas Edward Hopper,ST,65,775000.0,27,ST,Left,3,3,1,64.0,63.0,53.0,62.0,34.0,75.0,48,66,65,59,58,59,42,45,45,63,62,66,69,65,64,65,80,79,77,56,62,17,66,57,61,62
10016,Cole John Stockton,ST,65,825000.0,27,ST,Right,3,2,1,67.0,64.0,52.0,63.0,32.0,76.0,41,65,64,58,57,61,52,42,49,64,65,68,65,63,68,66,84,80,81,60,55,25,66,59,60,60
10021,Roman Zozulya,ST,65,600000.0,31,RS,Right,3,3,1,73.0,63.0,56.0,61.0,43.0,80.0,51,62,68,65,65,58,42,55,42,62,73,73,66,62,68,68,90,75,83,60,75,41,64,58,64,63
